ID	Q1	Q2	admixture	location	population	habitat	sex	cluster_inv1	cluster_inv3.1	cluster_inv3.2
PP1001	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1004	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1016	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1028	0.231821	0.768179	blob	canada	sevilla	natural	female	1	1	1
PP1033	0.220808	0.779192	blob	granjaescuela	huelva	urbano	female	1	2	2
PP1035	0.23413	0.76587	blob	granjaescuela	huelva	urbano	female	3	1	3
PP1036	0.176363	0.823637	blob	granjaescuela	huelva	urbano	female	1	1	2
PP1040	0.191203	0.808797	blob	edarmo	huelva	urbano	female	1	1	2
PP1041	0.202526	0.797474	blob	edarmo	huelva	urbano	female	1	1	1
PP1075	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1077	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1122	0.168729	0.831271	blob	dehesa	sevilla	natural	female	2	2	3
PP1147	0.254875	0.745125	blob	canada	sevilla	natural	female	1	1	2
PP1148	0.203879	0.796121	blob	canada	sevilla	natural	female	1	1	3
PP1156	1.00E-05	0.99999	pipiens	colinaspinar	sevilla	urbano	female	3	1	3
PP1157	0.212937	0.787063	blob	colinaspinar	sevilla	urbano	female	1	1	2
PP1160	0.095483	0.904517	blob	colinaspinar	sevilla	urbano	female	1	2	1
PP1172	0.194763	0.805237	blob	dehesa	sevilla	natural	female	2	2	2
PP1174	0.229302	0.770698	blob	dehesa	sevilla	natural	female	1	1	2
PP1219	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1221	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1285	0.99999	1.00E-05	molestus	corrales	huelva	urbano	female	1	1	1
PP1308	0.99999	1.00E-05	molestus	corrales	huelva	urbano	female	1	1	1
PP1312	0.174054	0.825946	blob	cmutis	huelva	urbano	female	1	2	1
PP1313	0.193473	0.806527	blob	cmutis	huelva	urbano	female	1	3	2
PP1314	0.247951	0.752049	blob	cmutis	huelva	urbano	female	2	1	1
PP1315	0.165602	0.834398	blob	cmutis	huelva	urbano	female	1	2	1
PP1357	0.99999	1.00E-05	molestus	edarhu	huelva	urbano	female	1	1	1
PP1410	0.222976	0.777024	blob	alamos	huelva	urbano	female	2	1	1
PP1411	0.99999	1.00E-05	molestus	alamos	huelva	urbano	female	1	1	1
